city,percentage_change_parents,median_sale_price,lat,lng
"Baton Rouge, Louisiana",0.12098424589393,194750,30.4414121805816,-91.1303550325081
"Orlando, Florida",0.0757940065250409,205500,28.4832371431985,-81.3478103870463
"San Bernardino, California",0.0530830949648793,242727,34.1429847091585,-117.292269116075
"Houston, Texas",0.0525587855758813,215000,29.8055050879218,-95.411019795589
"Rochester, New York",0.0466299149104759,117000,43.1705072041771,-77.615285608922
"Irving, Texas",0.0333286342727057,232450,32.8586891036254,-96.9698893296536
"Virginia Beach, Virginia",0.026748831263554,251000,36.734027683076,-76.0440609422949
"Cincinnati, Ohio",0.0257866047260666,142000,39.1406140268471,-84.5062960523237
"Chesapeake, Virginia",0.0180011099647319,260500,36.6785631955702,-76.3022433700332
"Jacksonville, Florida",0.0168131800140019,168950,30.3326792358474,-81.6747738692803
"Omaha, Nebraska",0.0101311222034812,173000,41.2655899715956,-96.0512072688618
"Moreno Valley, California",0.00734318567728676,289000,33.9246966428623,-117.204857197376
"Dallas, Texas",0.00636393802107449,275000,32.7989048343824,-96.7601899221281
"Raleigh, North Carolina",0.00313477769039472,230000,35.8341269378749,-78.6398941501204
"Huntington Beach, California",0.00269438492569685,695000,33.6962748256394,-118.003688789175
"Fontana, California",0.00257850967129958,335500,34.0966839211254,-117.459985953287
"Mesa, Arizona",0.00195991885163593,213195,33.4018130531101,-111.713545569748
