city,percentage_change_single_mom,median_sale_price,lat,lng
"Chula Vista, California",0.20161992071343,445000,32.6288297898185,-117.014452507853
"Chandler, Arizona",0.186202873660603,274500,33.2812662367774,-111.850827999653
"Tucson, Arizona",0.167434658846858,178250,32.1543442068402,-110.878092767473
"Oxnard, California",0.150614913265476,434000,34.1957213775217,-119.183717997192
"Tampa, Florida",0.143458141617393,210000,27.9952744113577,-82.4544509883587
"Houston, Texas",0.137742409807416,215000,29.8055050879218,-95.411019795589
"Chesapeake, Virginia",0.131586714219975,260500,36.6785631955702,-76.3022433700332
"San Bernardino, California",0.114598028249665,242727,34.1429847091585,-117.292269116075
"St. Louis, Missouri",0.0952275422229965,153250,38.6359124969564,-90.2450973570606
"Fresno, California",0.0727932438313736,217500,36.781845972225,-119.793150831827
"Cincinnati, Ohio",0.0587072197094805,142000,39.1406140268471,-84.5062960523237
"Oklahoma City, Oklahoma",0.0534385396984807,167500,35.4680117999533,-97.5129888691983
"Santa Ana, California",0.0510799591565092,490000,33.7368598227901,-117.882175050997
"Arlington, Texas",0.0492197692250467,179900,32.7000497902928,-97.1257384095109
"Rochester, New York",0.0451872012287688,117000,43.1705072041771,-77.615285608922
"Huntington Beach, California",0.0346762278777315,695000,33.6962748256394,-118.003688789175
"St. Petersburg, Florida",0.0333921084682631,175000,27.7931044994503,-82.6657483987625
"Jacksonville, Florida",0.0325219081800572,168950,30.3326792358474,-81.6747738692803
"Fort Worth, Texas",0.0277088368762568,192250,32.7823250853104,-97.3504290964638
"Dallas, Texas",0.026129519913316,275000,32.7989048343824,-96.7601899221281
"San Francisco, California",0.0251030655726689,1200000,37.7565117696729,-122.439032290602
"Miami, Florida",0.0236293258201234,269000,25.7831389286817,-80.2107911946678
"Durham, North Carolina",0.011957540723154,217000,35.9802616581201,-78.8995729249676
"Hialeah, Florida",0.00580215165018649,246000,25.8702045456243,-80.3049720674241
